START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
06/11/20,01:10 PM,01:10 PM,Athletics at Tigers,Comerica Park - Detroit,"Local TV: FS-D",06/11/20,06/11/20,04:10 PM,04:10 PM,FALSE,TRUE,06/11/20,12:10 PM,12:10 PM,FREE,BUSY
06/12/20,07:10 PM,07:10 PM,Blue Jays at Tigers,Comerica Park - Detroit,"Local TV: FS-D",06/12/20,06/12/20,10:10 PM,10:10 PM,FALSE,TRUE,06/12/20,06:10 PM,06:10 PM,FREE,BUSY
06/13/20,04:10 PM,04:10 PM,Blue Jays at Tigers,Comerica Park - Detroit,"Local TV: FS-D",06/13/20,06/13/20,07:10 PM,07:10 PM,FALSE,TRUE,06/13/20,03:10 PM,03:10 PM,FREE,BUSY
06/14/20,01:10 PM,01:10 PM,Blue Jays at Tigers,Comerica Park - Detroit,"Local TV: FS-D",06/14/20,06/14/20,04:10 PM,04:10 PM,FALSE,TRUE,06/14/20,12:10 PM,12:10 PM,FREE,BUSY
06/16/20,07:10 PM,07:10 PM,White Sox at Tigers,Comerica Park - Detroit,"Local TV: FS-D",06/16/20,06/16/20,10:10 PM,10:10 PM,FALSE,TRUE,06/16/20,06:10 PM,06:10 PM,FREE,BUSY
06/17/20,07:10 PM,07:10 PM,White Sox at Tigers,Comerica Park - Detroit,"Local TV: FS-D",06/17/20,06/17/20,10:10 PM,10:10 PM,FALSE,TRUE,06/17/20,06:10 PM,06:10 PM,FREE,BUSY
06/18/20,01:10 PM,01:10 PM,White Sox at Tigers,Comerica Park - Detroit,"Local TV: FS-D",06/18/20,06/18/20,04:10 PM,04:10 PM,FALSE,TRUE,06/18/20,12:10 PM,12:10 PM,FREE,BUSY
06/19/20,10:10 PM,10:10 PM,Tigers at Dodgers,Dodger Stadium - Los Angeles,"Local TV: FS-D",06/20/20,06/20/20,01:10 AM,01:10 AM,FALSE,TRUE,06/19/20,09:10 PM,09:10 PM,FREE,BUSY
06/20/20,10:10 PM,10:10 PM,Tigers at Dodgers,Dodger Stadium - Los Angeles,"Local TV: FS-D",06/21/20,06/21/20,01:10 AM,01:10 AM,FALSE,TRUE,06/20/20,09:10 PM,09:10 PM,FREE,BUSY
06/21/20,04:10 PM,04:10 PM,Tigers at Dodgers,Dodger Stadium - Los Angeles,"Local TV: FS-D",06/21/20,06/21/20,07:10 PM,07:10 PM,FALSE,TRUE,06/21/20,03:10 PM,03:10 PM,FREE,BUSY
